         437420278 function calls (437414804 primitive calls) in 151.708 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30257    0.026    0.000    0.026    0.000 {method 'dot' of 'numpy.ndarray' objects}
      102    0.001    0.000    0.025    0.000 C:\Python313\Lib\site-packages\pandas\core\frame.py:694(__init__)
        1    0.000    0.000    0.025    0.025 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        1    0.000    0.000    0.025    0.025 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:190(write_worksheet)
      191    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
    14602    0.014    0.000    0.024    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:553(__init__)
      191    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.024    0.024 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\_chart.py:1(<module>)
        1    0.000    0.000    0.024    0.024 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:607(get_sheet_data)
   273390    0.023    0.000    0.023    0.000 C:\Python313\Lib\site-packages\numpy\_core\numeric.py:1518(_cross_dispatcher)
      241    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      102    0.000    0.000    0.022    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_read_only.py:60(_cells_by_row)
        1    0.000    0.000    0.022    0.022 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:1507(__init__)
        5    0.021    0.004    0.022    0.004 {built-in method _io.open}
    15087    0.021    0.000    0.021    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      102    0.001    0.000    0.021    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_reader.py:125(parse)
    14602    0.020    0.000    0.020    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.019    0.019 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\_3d.py:1(<module>)
      100    0.002    0.000    0.018    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\construction.py:237(ndarray_to_mgr)
      182    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
  300/100    0.006    0.000    0.018    0.000 C:\Python313\Lib\site-packages\scipy\stats\_distn_infrastructure.py:1059(rvs)
        1    0.000    0.000    0.018    0.018 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\styles\__init__.py:1(<module>)
      182    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
  879/181    0.004    0.000    0.017    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
        1    0.001    0.001    0.015    0.015 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:442(_write_cells)
        1    0.000    0.000    0.015    0.015 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\styles\styleable.py:1(<module>)
        1    0.000    0.000    0.015    0.015 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\reader\excel.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\marker.py:1(<module>)
3263/3262    0.000    0.000    0.014    0.000 C:\Python313\Lib\xml\etree\ElementTree.py:1233(iterator)
    29213    0.014    0.000    0.014    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.013    0.013 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\styles\builtins.py:1(<module>)
      100    0.000    0.000    0.013    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\construction.py:742(_get_axes)
        1    0.000    0.000    0.013    0.013 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:1371(inspect_excel_format)
      691    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      126    0.001    0.000    0.013    0.000 C:\Python313\Lib\site-packages\pandas\core\indexes\base.py:7593(ensure_index)
      693    0.012    0.000    0.012    0.000 {built-in method nt.stat}
      100    0.001    0.000    0.012    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\common.py:68(select_initial_step)
        3    0.000    0.000    0.012    0.004 C:\Python313\Lib\site-packages\pandas\io\common.py:664(get_handle)
        5    0.000    0.000    0.012    0.002 C:\Python313\Lib\xml\etree\ElementTree.py:1285(feed)
        5    0.000    0.000    0.012    0.002 C:\Python313\Lib\xml\etree\ElementTree.py:1710(feed)
        6    0.003    0.001    0.012    0.002 {method 'Parse' of 'pyexpat.xmlparser' objects}
       68    0.000    0.000    0.012    0.000 C:\Python313\Lib\re\__init__.py:330(_compile)
       65    0.000    0.000    0.012    0.000 C:\Python313\Lib\re\__init__.py:287(compile)
   120687    0.011    0.000    0.011    0.000 C:\Python313\Lib\site-packages\numpy\_core\multiarray.py:761(dot)
        1    0.000    0.000    0.011    0.011 C:\Python313\Lib\zipfile\__init__.py:1877(write)
      400    0.006    0.000    0.011    0.000 C:\Python313\Lib\site-packages\numpy\_core\shape_base.py:21(atleast_1d)
        1    0.000    0.000    0.011    0.011 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_writer.py:354(write)
    73981    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
      100    0.000    0.000    0.011    0.000 C:\Python313\Lib\site-packages\scipy\stats\_continuous_distns.py:7080(_rvs)
      104    0.002    0.000    0.011    0.000 C:\Python313\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
       42    0.000    0.000    0.011    0.000 C:\Python313\Lib\re\_compiler.py:743(compile)
    14602    0.006    0.000    0.010    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:245(__init__)
        1    0.000    0.000    0.010    0.010 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\xml\__init__.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\xml\__init__.py:8(lxml_available)
        1    0.000    0.000    0.010    0.010 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_writer.py:120(write_rows)
      222    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
    91436    0.009    0.000    0.009    0.000 C:\Python313\Lib\site-packages\numpy\_core\multiarray.py:180(concatenate)
      101    0.001    0.000    0.009    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_writer.py:130(write_row)
     2070    0.007    0.000    0.009    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\descriptors\base.py:35(__init__)
     1218    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.008    0.008 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:534(__init__)
        1    0.000    0.000    0.008    0.008 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:546(__init__)
        1    0.000    0.000    0.008    0.008 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\shapes.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:565(load_workbook)
        1    0.000    0.000    0.008    0.008 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\reader\excel.py:316(load_workbook)
      2/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:1326(exec_module)
      2/1    0.004    0.002    0.008    0.008 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.008    0.008 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\styles\alignment.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\reader\excel.py:286(read)
    48780    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
     1515    0.005    0.000    0.008    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\cell\_writer.py:89(lxml_write_cell)
      199    0.006    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
     1516    0.001    0.000    0.007    0.000 C:\Python313\Lib\site-packages\pandas\io\formats\excel.py:888(get_formatted_cells)
      101    0.001    0.000    0.007    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_reader.py:282(parse_row)
      184    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.007    0.007 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\workbook\_writer.py:1(<module>)
       42    0.000    0.000    0.007    0.000 C:\Python313\Lib\re\_parser.py:970(parse)
     1515    0.002    0.000    0.006    0.000 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_reader.py:189(parse_cell)
        1    0.000    0.000    0.006    0.006 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\descriptors\__init__.py:1(<module>)
    43806    0.006    0.000    0.006    0.000 C:\Python313\Lib\site-packages\numpy\lib\_shape_base_impl.py:1287(<genexpr>)
   158/42    0.000    0.000    0.006    0.000 C:\Python313\Lib\re\_parser.py:451(_parse_sub)
      142    0.001    0.000    0.006    0.000 C:\Python313\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
   205/58    0.002    0.000    0.006    0.000 C:\Python313\Lib\re\_parser.py:511(_parse)
    15661    0.006    0.000    0.006    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.006    0.006 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\utils\__init__.py:1(<module>)
      300    0.003    0.000    0.005    0.000 C:\Python313\Lib\site-packages\scipy\stats\_distn_infrastructure.py:911(_argcheck_rvs)
